timestamp,terminal_id,zone_id,zone_name,passenger_count,capacity,occupancy_percent,people_entering_per_min,people_leaving_per_min,arrival_rate_per_hour,departure_rate_per_hour,queue_length,processing_rate_per_min,estimated_wait_time_min,average_dwell_time_min,active_service_counters,flow_level,quality,source_mode
2026-07-15T00:40:00.000Z,T1,CHECKIN-B,Check-in Zone B,246,900,27.33,10,8,600,480,37,11.17,3.31,27.98,8,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,SECURITY-01,Security Checkpoint,164,700,23.43,10,8,600,480,32,10.95,2.92,27.58,4,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,IMMIGRATION-01,Immigration Hall,184,850,21.65,9,8,540,480,29,10.81,2.68,27.3,4,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,GATE-AREA-A,Gate Area A,312,1100,28.36,10,8,600,480,9,11.31,0.8,28.26,,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,166,900,18.44,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,DEPARTURE-HALL,Departure Hall,604,2400,25.17,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,528,1900,27.79,10,9,600,540,8,11.42,0.7,28.46,,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,CHECKIN-A,Check-in Zone A,242,900,26.89,11,9,660,540,36,11.78,3.06,29.14,8,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,CHECKIN-B,Check-in Zone B,204,900,22.67,10,8,600,480,31,11.17,2.78,27.98,8,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,SECURITY-01,Security Checkpoint,141,700,20.14,10,8,600,480,27,10.95,2.47,27.58,4,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,IMMIGRATION-01,Immigration Hall,208,850,24.47,9,8,540,480,33,10.81,3.05,27.3,4,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,GATE-AREA-A,Gate Area A,288,1100,26.18,10,8,600,480,8,11.31,0.71,28.26,,normal,good,simulated
2026-07-15T00:50:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,178,900,19.78,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,DEPARTURE-HALL,Departure Hall,590,2400,24.58,12,10,720,600,7,12.14,0.58,29.82,,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,558,1900,29.37,10,9,600,540,9,11.42,0.79,28.46,,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,CHECKIN-A,Check-in Zone A,220,900,24.44,11,9,660,540,33,11.78,2.8,29.14,8,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,CHECKIN-B,Check-in Zone B,231,900,25.67,10,8,600,480,35,11.17,3.13,27.98,8,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,SECURITY-01,Security Checkpoint,174,700,24.86,10,8,600,480,34,10.95,3.1,27.58,4,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,IMMIGRATION-01,Immigration Hall,168,850,19.76,9,8,540,480,27,10.81,2.5,27.3,4,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,GATE-AREA-A,Gate Area A,255,1100,23.18,10,8,600,480,7,11.31,0.62,28.26,,normal,good,simulated
2026-07-15T01:00:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,200,900,22.22,9,7,540,420,7,10.59,0.66,26.9,,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,DEPARTURE-HALL,Departure Hall,609,2400,25.37,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,562,1900,29.58,10,9,600,540,9,11.42,0.79,28.46,,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,CHECKIN-A,Check-in Zone A,209,900,23.22,11,9,660,540,31,11.78,2.63,29.14,8,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,CHECKIN-B,Check-in Zone B,250,900,27.78,10,8,600,480,38,11.17,3.4,27.98,8,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,SECURITY-01,Security Checkpoint,155,700,22.14,10,8,600,480,30,10.95,2.74,27.58,4,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,IMMIGRATION-01,Immigration Hall,196,850,23.06,9,8,540,480,31,10.81,2.87,27.3,4,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,GATE-AREA-A,Gate Area A,306,1100,27.82,10,8,600,480,8,11.31,0.71,28.26,,normal,good,simulated
2026-07-15T01:10:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,229,900,25.44,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,DEPARTURE-HALL,Departure Hall,659,2400,27.46,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,540,1900,28.42,10,9,600,540,9,11.42,0.79,28.46,,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,CHECKIN-A,Check-in Zone A,211,900,23.44,11,9,660,540,32,11.78,2.72,29.14,8,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,CHECKIN-B,Check-in Zone B,258,900,28.67,10,8,600,480,39,11.17,3.49,27.98,8,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,SECURITY-01,Security Checkpoint,142,700,20.29,10,8,600,480,27,10.95,2.47,27.58,4,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,IMMIGRATION-01,Immigration Hall,217,850,25.53,9,8,540,480,34,10.81,3.15,27.3,4,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,GATE-AREA-A,Gate Area A,271,1100,24.64,10,8,600,480,7,11.31,0.62,28.26,,normal,good,simulated
2026-07-15T01:20:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,187,900,20.78,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,DEPARTURE-HALL,Departure Hall,730,2400,30.42,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,495,1900,26.05,10,9,600,540,8,11.42,0.7,28.46,,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,CHECKIN-A,Check-in Zone A,224,900,24.89,11,9,660,540,34,11.78,2.89,29.14,8,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,CHECKIN-B,Check-in Zone B,253,900,28.11,10,8,600,480,38,11.17,3.4,27.98,8,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,SECURITY-01,Security Checkpoint,139,700,19.86,10,8,600,480,27,10.95,2.47,27.58,4,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,IMMIGRATION-01,Immigration Hall,230,850,27.06,9,8,540,480,37,10.81,3.42,27.3,4,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,GATE-AREA-A,Gate Area A,246,1100,22.36,10,8,600,480,7,11.31,0.62,28.26,,normal,good,simulated
2026-07-15T01:30:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,213,900,23.67,9,7,540,420,7,10.59,0.66,26.9,,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,DEPARTURE-HALL,Departure Hall,619,2400,25.79,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,435,1900,22.89,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,CHECKIN-A,Check-in Zone A,248,900,27.56,11,9,660,540,37,11.78,3.14,29.14,8,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,CHECKIN-B,Check-in Zone B,236,900,26.22,10,8,600,480,35,11.17,3.13,27.98,8,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,SECURITY-01,Security Checkpoint,145,700,20.71,10,8,600,480,28,10.95,2.56,27.58,4,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,IMMIGRATION-01,Immigration Hall,230,850,27.06,9,8,540,480,37,10.81,3.42,27.3,4,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,GATE-AREA-A,Gate Area A,234,1100,21.27,10,8,600,480,6,11.31,0.53,28.26,,normal,good,simulated
2026-07-15T01:40:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,231,900,25.67,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,DEPARTURE-HALL,Departure Hall,694,2400,28.92,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,523,1900,27.53,10,9,600,540,8,11.42,0.7,28.46,,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,CHECKIN-A,Check-in Zone A,277,900,30.78,11,9,660,540,42,11.78,3.57,29.14,8,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,CHECKIN-B,Check-in Zone B,210,900,23.33,10,8,600,480,31,11.17,2.78,27.99,8,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,SECURITY-01,Security Checkpoint,161,700,23,10,8,600,480,31,10.95,2.83,27.58,4,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,IMMIGRATION-01,Immigration Hall,219,850,25.76,9,8,540,480,35,10.81,3.24,27.3,4,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,GATE-AREA-A,Gate Area A,238,1100,21.64,10,8,600,480,6,11.31,0.53,28.26,,normal,good,simulated
2026-07-15T01:50:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,237,900,26.33,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,DEPARTURE-HALL,Departure Hall,751,2400,31.29,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,467,1900,24.58,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,CHECKIN-A,Check-in Zone A,235,900,26.11,11,9,660,540,35,11.78,2.97,29.14,8,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,CHECKIN-B,Check-in Zone B,252,900,28,10,8,600,480,38,11.17,3.4,27.99,8,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,SECURITY-01,Security Checkpoint,182,700,26,10,8,600,480,35,10.95,3.2,27.58,4,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,IMMIGRATION-01,Immigration Hall,198,850,23.29,9,8,540,480,31,10.81,2.87,27.31,4,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,GATE-AREA-A,Gate Area A,256,1100,23.27,10,8,600,480,7,11.31,0.62,28.26,,normal,good,simulated
2026-07-15T02:00:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,231,900,25.67,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,DEPARTURE-HALL,Departure Hall,780,2400,32.5,12,10,720,600,10,12.14,0.82,29.82,,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,427,1900,22.47,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,CHECKIN-A,Check-in Zone A,260,900,28.89,11,9,660,540,39,11.78,3.31,29.14,8,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,CHECKIN-B,Check-in Zone B,223,900,24.78,10,8,600,480,33,11.17,2.95,27.99,8,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,SECURITY-01,Security Checkpoint,150,700,21.43,10,8,600,480,29,10.95,2.65,27.58,4,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,IMMIGRATION-01,Immigration Hall,171,850,20.12,9,8,540,480,27,10.81,2.5,27.31,4,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,GATE-AREA-A,Gate Area A,286,1100,26,10,8,600,480,8,11.31,0.71,28.26,,normal,good,simulated
2026-07-15T02:10:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,213,900,23.67,9,7,540,420,7,10.59,0.66,26.9,,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,DEPARTURE-HALL,Departure Hall,774,2400,32.25,12,10,720,600,10,12.14,0.82,29.83,,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,412,1900,21.68,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,CHECKIN-A,Check-in Zone A,276,900,30.67,11,9,660,540,41,11.78,3.48,29.14,8,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,CHECKIN-B,Check-in Zone B,201,900,22.33,10,8,600,480,30,11.17,2.69,27.99,8,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,SECURITY-01,Security Checkpoint,171,700,24.43,10,8,600,480,33,10.95,3.01,27.58,4,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,IMMIGRATION-01,Immigration Hall,211,850,24.82,9,8,540,480,34,10.81,3.15,27.31,4,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,GATE-AREA-A,Gate Area A,234,1100,21.27,10,8,600,480,6,11.31,0.53,28.26,,normal,good,simulated
2026-07-15T02:20:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,187,900,20.78,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,DEPARTURE-HALL,Departure Hall,737,2400,30.71,12,10,720,600,9,12.14,0.74,29.83,,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,424,1900,22.32,10,9,600,540,7,11.42,0.61,28.47,,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,CHECKIN-A,Check-in Zone A,280,900,31.11,11,9,660,540,42,11.78,3.56,29.15,8,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,CHECKIN-B,Check-in Zone B,188,900,20.89,10,8,600,480,28,11.17,2.51,27.99,8,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,SECURITY-01,Security Checkpoint,187,700,26.71,10,8,600,480,36,10.96,3.29,27.58,4,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,IMMIGRATION-01,Immigration Hall,186,850,21.88,9,8,540,480,30,10.81,2.77,27.31,4,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,GATE-AREA-A,Gate Area A,271,1100,24.64,10,8,600,480,7,11.32,0.62,28.26,,normal,good,simulated
2026-07-15T02:30:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,229,900,25.44,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,DEPARTURE-HALL,Departure Hall,673,2400,28.04,12,10,720,600,8,12.15,0.66,29.83,,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,460,1900,24.21,10,9,600,540,7,11.43,0.61,28.47,,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,CHECKIN-A,Check-in Zone A,271,900,30.11,11,9,660,540,41,11.79,3.48,29.15,8,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,CHECKIN-B,Check-in Zone B,188,900,20.89,10,8,600,480,28,11.17,2.51,27.99,8,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,SECURITY-01,Security Checkpoint,194,700,27.71,10,8,600,480,37,10.96,3.38,27.58,4,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,IMMIGRATION-01,Immigration Hall,169,850,19.88,9,8,540,480,27,10.81,2.5,27.31,4,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,GATE-AREA-A,Gate Area A,300,1100,27.27,10,8,600,480,8,11.32,0.71,28.27,,normal,good,simulated
2026-07-15T02:40:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,200,900,22.22,9,7,540,420,7,10.6,0.66,26.9,,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,DEPARTURE-HALL,Departure Hall,595,2400,24.79,12,10,720,600,7,12.15,0.58,29.84,,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,515,1900,27.11,10,9,600,540,8,11.43,0.7,28.47,,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,CHECKIN-A,Check-in Zone A,251,900,27.89,11,9,660,540,38,11.79,3.22,29.16,8,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,CHECKIN-B,Check-in Zone B,200,900,22.22,10,8,600,480,30,11.18,2.68,28,8,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,SECURITY-01,Security Checkpoint,192,700,27.43,10,8,600,480,37,10.96,3.38,27.59,4,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,IMMIGRATION-01,Immigration Hall,164,850,19.29,9,8,540,480,26,10.81,2.4,27.32,4,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,GATE-AREA-A,Gate Area A,318,1100,28.91,10,8,600,480,9,11.32,0.8,28.27,,normal,good,simulated
2026-07-15T02:50:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,178,900,19.78,9,7,540,420,6,10.6,0.57,26.91,,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,DEPARTURE-HALL,Departure Hall,708,2400,29.5,12,10,720,600,9,12.15,0.74,29.85,,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,427,1900,22.47,10,9,600,540,7,11.43,0.61,28.48,,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,CHECKIN-A,Check-in Zone A,224,900,24.89,11,9,660,540,34,11.79,2.88,29.16,8,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,CHECKIN-B,Check-in Zone B,223,900,24.78,10,8,600,480,33,11.18,2.95,28,8,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,SECURITY-01,Security Checkpoint,180,700,25.71,10,8,600,480,35,10.96,3.19,27.59,4,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,IMMIGRATION-01,Immigration Hall,170,850,20,9,8,540,480,27,10.82,2.5,27.32,4,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,GATE-AREA-A,Gate Area A,321,1100,29.18,10,8,600,480,9,11.32,0.79,28.28,,normal,good,simulated
2026-07-15T03:00:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,167,900,18.56,9,7,540,420,6,10.6,0.57,26.91,,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,DEPARTURE-HALL,Departure Hall,643,2400,26.79,12,10,720,600,8,12.16,0.66,29.86,,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,488,1900,25.68,10,9,600,540,8,11.44,0.7,28.49,,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,CHECKIN-A,Check-in Zone A,266,900,29.56,11,9,660,540,40,11.8,3.39,29.18,8,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,CHECKIN-B,Check-in Zone B,252,900,28,10,8,600,480,38,11.18,3.4,28.01,8,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,SECURITY-01,Security Checkpoint,161,700,23,10,8,600,480,31,10.97,2.83,27.6,4,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,IMMIGRATION-01,Immigration Hall,188,850,22.12,9,8,540,480,30,10.82,2.77,27.33,4,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,GATE-AREA-A,Gate Area A,309,1100,28.09,10,8,600,480,8,11.33,0.71,28.29,,normal,good,simulated
2026-07-15T03:10:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,168,900,18.67,9,7,540,420,6,10.6,0.57,26.92,,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,DEPARTURE-HALL,Departure Hall,602,2400,25.08,12,10,720,600,8,12.17,0.66,29.88,,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,536,1900,28.21,11,9,660,540,8,11.44,0.7,28.51,,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,CHECKIN-A,Check-in Zone A,238,900,26.44,11,9,660,540,36,11.81,3.05,29.19,8,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,CHECKIN-B,Check-in Zone B,210,900,23.33,10,8,600,480,31,11.19,2.77,28.03,8,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,SECURITY-01,Security Checkpoint,194,700,27.71,10,8,600,480,37,10.97,3.37,27.62,4,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,IMMIGRATION-01,Immigration Hall,213,850,25.06,9,8,540,480,34,10.83,3.14,27.34,4,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,GATE-AREA-A,Gate Area A,284,1100,25.82,10,8,600,480,8,11.34,0.71,28.3,,normal,good,simulated
2026-07-15T03:20:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,182,900,20.22,9,7,540,420,6,10.61,0.57,26.93,,normal,good,simulated
2026-07-15T03:30:00.000Z,T1,DEPARTURE-HALL,Departure Hall,594,2400,24.75,12,10,720,600,7,12.18,0.57,29.9,,normal,good,simulated
2026-07-15T03:30:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,563,1900,29.63,11,9,660,540,9,11.45,0.79,28.52,,normal,good,simulated
2026-07-15T03:30:00.000Z,T1,CHECKIN-A,Check-in Zone A,219,900,24.33,11,9,660,540,33,11.82,2.79,29.21,8,normal,good,simulated
2026-07-15T03:30:00.000Z,T1,CHECKIN-B,Check-in Zone B,236,900,26.22,10,8,600,480,35,11.2,3.13,28.04,8,normal,good,simulated
